;c;g;g;g;g
;Cena [PLN];Gramatura kimona [g/m];Waga spodni [oz];Zawarto?? bawe?ny [%];Ocena producenta
Venum Contender 2.0;379,00;350;9;100;6
Tatami Nova Minimo 2.0;299,00;425;9;100;9
Tatami Zero G V4 Superlight;359,00;475;9;100;9
Tatami Hokori Minimal;289,00;350;10;100;9
Tatami Elements Ultralite;349,00;300;8;100;9
Tatami Estilo 6.0;479,00;550;12;100;9
Fuji Suparaito;429,00;350;8;50;5
Fuji All Around;329,00;550;8;50;5
Tatami Nova Mk4;299,00;425;9;100;9
Tatami Japan Series Samurai;399,00;475;10;100;9
PitBull PB 2017 450;389,00;450;9;100;7
PitBull PB 2017 350;349,00;350;9;100;7
Tatami Lightweight Traveller;339,00;250;8;100;9
Ground Game Inceptor 3.0;299,00;550;10;80;8
KiNGZ Sovereign 2.0;649,00;450;11;100;7
KiNGZ Classic 2.0;399,00;450;10;100;7
Tatami Nova Plus;329,00;425;10;100;9
KiNGZ Balistico 2.0;569,00;480;8;100;7
KiNGZ Nano;459,00;370;8;100;7
KiNGZ Ultralight;499,00;420;8;100;7
Adidas Training;209,00;500;7;70;10
Dax FUJI;216,00;570;7;100;4
KuSakura IJF;1390,00;750;8;70;10
Mizuno Shiai;844,00;930;8;80;10
Adidas Champion II IJF APPROVED;669,00;750;8;75;10
Adidas Elite;359,00;800;7;70;10
Green Hill Club;163,00;450;7;80;2
Mifune 550;204,00;550;8;100;1
Adidas Contest II;295,00;650;9;80;10
Adidas Quest ;690,00;690;10;60;10
